epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,146.149,0.51203,0.30705,0.84034,0.9288,0.96491,0.9793,0.76641,0.8511,0.44427,0.94295,0.0006734,0.0006734,0.0006734
69,148.225,0.56142,0.32691,0.82738,0.9288,0.96491,0.9793,0.76641,0.8511,0.44427,0.94295,0.0006536,0.0006536,0.0006536
70,150.44,0.57116,0.34152,0.81681,0.92107,0.96491,0.97532,0.75798,0.86947,0.46194,0.94452,0.0006338,0.0006338,0.0006338
71,152.496,0.4984,0.30167,0.8008,0.92107,0.96491,0.97532,0.75798,0.86947,0.46194,0.94452,0.000614,0.000614,0.000614
72,154.541,0.53772,0.33057,0.83519,0.93266,0.97195,0.9742,0.75245,0.89503,0.45872,0.95302,0.0005942,0.0005942,0.0005942
73,156.411,0.53922,0.30845,0.8434,0.93266,0.97195,0.9742,0.75245,0.89503,0.45872,0.95302,0.0005744,0.0005744,0.0005744
74,158.42,0.54266,0.32179,0.81503,0.94036,0.96824,0.97733,0.75503,0.87173,0.44009,0.94339,0.0005546,0.0005546,0.0005546
75,160.429,0.4646,0.28033,0.81527,0.94036,0.96824,0.97733,0.75503,0.87173,0.44009,0.94339,0.0005348,0.0005348,0.0005348
76,162.361,0.52188,0.31282,0.81064,0.94747,0.97368,0.98234,0.77068,0.83398,0.43093,0.93218,0.000515,0.000515,0.000515
77,164.528,0.51274,0.31702,0.8049,0.94747,0.97368,0.98234,0.77068,0.83398,0.43093,0.93218,0.0004952,0.0004952,0.0004952
78,166.826,0.50604,0.30037,0.81853,0.94333,0.97368,0.98203,0.76073,0.8609,0.45224,0.94688,0.0004754,0.0004754,0.0004754
79,168.797,0.51963,0.30958,0.81669,0.94333,0.97368,0.98203,0.76073,0.8609,0.45224,0.94688,0.0004556,0.0004556,0.0004556
80,170.818,0.48107,0.29316,0.81474,0.95699,0.95614,0.98214,0.75544,0.86749,0.44366,0.95594,0.0004358,0.0004358,0.0004358
81,172.727,0.46935,0.28458,0.82817,0.95699,0.95614,0.98214,0.75544,0.86749,0.44366,0.95594,0.000416,0.000416,0.000416
82,174.732,0.4877,0.32056,0.83693,0.95106,0.95614,0.98056,0.77168,0.87268,0.42493,0.9588,0.0003962,0.0003962,0.0003962
83,176.914,0.4951,0.30019,0.83486,0.95106,0.95614,0.98056,0.77168,0.87268,0.42493,0.9588,0.0003764,0.0003764,0.0003764
84,179.03,0.47246,0.30113,0.8116,0.94775,0.95614,0.97858,0.77007,0.85224,0.43006,0.94594,0.0003566,0.0003566,0.0003566
85,180.962,0.43883,0.27353,0.8323,0.94775,0.95614,0.97858,0.77007,0.85224,0.43006,0.94594,0.0003368,0.0003368,0.0003368
